AS ID,Country,Description
349,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
350,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
351,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
352,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
353,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
354,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
355,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
356,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
357,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
358,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
359,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
360,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
361,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
362,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
363,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
364,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
365,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
366,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
367,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
368,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
369,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
370,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
371,US,"DNIC-ASBLK-00306-00371 - DoD Network Information Center,US"
372,US,"NSN-AMES-AS - National Aeronautics and Space Administration,US"
373,US,"MITRE-AS-4 - The MITRE Corporation,US"
374,US,"BROOKS-AS - 754th Electronic Systems Group,US"
375,FI,"TIETOTIE-AS Tieto Oyj,FI"
376,CA,"RISQ-AS - Reseau  d'informations scientifiques du Quebec (RISQ),CA"
377,US,"SNLA-NET-AS - Sandia National Laboratories,US"
378,IL,"MACHBA-AS ILAN,IL"
379,US,"AFCONC-BLOCK1-AS - 754th Electronic Systems Group,US"
380,US,"AFCONC-BLOCK1-AS - 754th Electronic Systems Group,US"
381,US,"AFCONC-BLOCK1-AS - 754th Electronic Systems Group,US"
382,US,"AFCONC-BLOCK1-AS - 754th Electronic Systems Group,US"
383,US,"AFCONC-BLOCK1-AS - 754th Electronic Systems Group,US"
384,US,"AFCONC-BLOCK1-AS - 754th Electronic Systems Group,US"
385,US,"AFCONC-BLOCK1-AS - 754th Electronic Systems Group,US"
386,US,"AFCONC-BLOCK1-AS - 754th Electronic Systems Group,US"
387,US,"AFCONC-BLOCK1-AS - 754th Electronic Systems Group,US"
388,US,"AFCONC-BLOCK1-AS - 754th Electronic Systems Group,US"
